5511 DEBUG [2016-04-14 01:04:36]  Adding transactional method 'UserServiceTest.empyRunnable' with attribute: PROPAGATION_REQUIRED,ISOLATION_DEFAULT; ''
5513 DEBUG [2016-04-14 01:04:36]  trace com.mchange.v2.resourcepool.BasicResourcePool@57fd91c9 [managed: 10, unused: 9, excluded: 0] (e.g. com.mchange.v2.c3p0.impl.NewPooledConnection@1674d5f4)
5514 DEBUG [2016-04-14 01:04:36]  Obtained JDBC connection
5514 DEBUG [2016-04-14 01:04:36]  begin
5514 DEBUG [2016-04-14 01:04:36]  initial autocommit status: true
5514 DEBUG [2016-04-14 01:04:36]  disabling autocommit
5514 DEBUG [2016-04-14 01:04:36]  Exposing Hibernate transaction as JDBC transaction [com.mchange.v2.c3p0.impl.NewProxyConnection@7e72a6cc]
5514 INFO  [2016-04-14 01:04:36]  Began transaction (1) for test context [DefaultTestContext@242b6e1a testClass = UserServiceTest, testInstance = com.demonshrimp.dawj.test.service.UserServiceTest@5922d3e9, testMethod = empyRunnable@BaseTestCase, testException = [null], mergedContextConfiguration = [MergedContextConfiguration@39a87e72 testClass = UserServiceTest, locations = '{classpath:/test-config/application-context.xml}', classes = '{}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{}', contextLoader = 'org.springframework.test.context.support.DelegatingSmartContextLoader', parent = [null]]]; transaction manager [org.springframework.orm.hibernate4.HibernateTransactionManager@5fa23c]; rollback [false]
5514 DEBUG [2016-04-14 01:04:36]  Found thread-bound Session [SessionImpl(PersistenceContext[entityKeys=[],collectionKeys=[]];ActionQueue[insertions=org.hibernate.engine.spi.ExecutableList@7d57dbb5 updates=org.hibernate.engine.spi.ExecutableList@630b6190 deletions=org.hibernate.engine.spi.ExecutableList@532e27ab orphanRemovals=org.hibernate.engine.spi.ExecutableList@1cdc1bbc collectionCreations=org.hibernate.engine.spi.ExecutableList@5f95f1e1 collectionRemovals=org.hibernate.engine.spi.ExecutableList@672a1c62 collectionUpdates=org.hibernate.engine.spi.ExecutableList@459b6c53 collectionQueuedOps=org.hibernate.engine.spi.ExecutableList@39e69ea7 unresolvedInsertDependencies=UnresolvedEntityInsertActions[]])] for Hibernate transaction
5514 DEBUG [2016-04-14 01:04:36]  Participating in existing transaction
5515 DEBUG [2016-04-14 01:04:36]  delete from user
5515 DEBUG [2016-04-14 01:04:36]  com.mchange.v2.c3p0.stmt.GlobalMaxOnlyStatementCache ----> CACHE HIT
5515 DEBUG [2016-04-14 01:04:36]  checkoutStatement: com.mchange.v2.c3p0.stmt.GlobalMaxOnlyStatementCache stats -- total size: 7; checked out: 1; num connections: 1; num keys: 7
5516 DEBUG [2016-04-14 01:04:36]  checkinStatement(): com.mchange.v2.c3p0.stmt.GlobalMaxOnlyStatementCache stats -- total size: 7; checked out: 0; num connections: 1; num keys: 7
5516 DEBUG [2016-04-14 01:04:36]  Found thread-bound Session [SessionImpl(PersistenceContext[entityKeys=[],collectionKeys=[]];ActionQueue[insertions=org.hibernate.engine.spi.ExecutableList@7d57dbb5 updates=org.hibernate.engine.spi.ExecutableList@630b6190 deletions=org.hibernate.engine.spi.ExecutableList@532e27ab orphanRemovals=org.hibernate.engine.spi.ExecutableList@1cdc1bbc collectionCreations=org.hibernate.engine.spi.ExecutableList@5f95f1e1 collectionRemovals=org.hibernate.engine.spi.ExecutableList@672a1c62 collectionUpdates=org.hibernate.engine.spi.ExecutableList@459b6c53 collectionQueuedOps=org.hibernate.engine.spi.ExecutableList@39e69ea7 unresolvedInsertDependencies=UnresolvedEntityInsertActions[]])] for Hibernate transaction
5516 DEBUG [2016-04-14 01:04:36]  Participating in existing transaction
5516 DEBUG [2016-04-14 01:04:36]  delete from site
5516 DEBUG [2016-04-14 01:04:36]  com.mchange.v2.c3p0.stmt.GlobalMaxOnlyStatementCache ----> CACHE HIT
5516 DEBUG [2016-04-14 01:04:36]  checkoutStatement: com.mchange.v2.c3p0.stmt.GlobalMaxOnlyStatementCache stats -- total size: 7; checked out: 1; num connections: 1; num keys: 7
5517 DEBUG [2016-04-14 01:04:36]  checkinStatement(): com.mchange.v2.c3p0.stmt.GlobalMaxOnlyStatementCache stats -- total size: 7; checked out: 0; num connections: 1; num keys: 7
5518 DEBUG [2016-04-14 01:04:36]  Found thread-bound Session [SessionImpl(PersistenceContext[entityKeys=[],collectionKeys=[]];ActionQueue[insertions=org.hibernate.engine.spi.ExecutableList@7d57dbb5 updates=org.hibernate.engine.spi.ExecutableList@630b6190 deletions=org.hibernate.engine.spi.ExecutableList@532e27ab orphanRemovals=org.hibernate.engine.spi.ExecutableList@1cdc1bbc collectionCreations=org.hibernate.engine.spi.ExecutableList@5f95f1e1 collectionRemovals=org.hibernate.engine.spi.ExecutableList@672a1c62 collectionUpdates=org.hibernate.engine.spi.ExecutableList@459b6c53 collectionQueuedOps=org.hibernate.engine.spi.ExecutableList@39e69ea7 unresolvedInsertDependencies=UnresolvedEntityInsertActions[]])] for Hibernate transaction
5518 DEBUG [2016-04-14 01:04:36]  Participating in existing transaction
5518 DEBUG [2016-04-14 01:04:36]  Generated identifier: 402881ed541094e001541094ed9c000d, using strategy: org.hibernate.id.UUIDHexGenerator
5518 DEBUG [2016-04-14 01:04:36]  Found thread-bound Session [SessionImpl(PersistenceContext[entityKeys=[EntityKey[com.demonshrimp.dawj.model.entity.Site#402881ed541094e001541094ed9c000d]],collectionKeys=[]];ActionQueue[insertions=org.hibernate.engine.spi.ExecutableList@7d57dbb5 updates=org.hibernate.engine.spi.ExecutableList@630b6190 deletions=org.hibernate.engine.spi.ExecutableList@532e27ab orphanRemovals=org.hibernate.engine.spi.ExecutableList@1cdc1bbc collectionCreations=org.hibernate.engine.spi.ExecutableList@5f95f1e1 collectionRemovals=org.hibernate.engine.spi.ExecutableList@672a1c62 collectionUpdates=org.hibernate.engine.spi.ExecutableList@459b6c53 collectionQueuedOps=org.hibernate.engine.spi.ExecutableList@39e69ea7 unresolvedInsertDependencies=UnresolvedEntityInsertActions[]])] for Hibernate transaction
5518 DEBUG [2016-04-14 01:04:36]  Participating in existing transaction
5518 DEBUG [2016-04-14 01:04:36]  Generated identifier: 402881ed541094e001541094ed9c000e, using strategy: org.hibernate.id.UUIDHexGenerator
5519 DEBUG [2016-04-14 01:04:36]  Found thread-bound Session [SessionImpl(PersistenceContext[entityKeys=[EntityKey[com.demonshrimp.dawj.model.entity.Site#402881ed541094e001541094ed9c000d], EntityKey[com.demonshrimp.dawj.model.entity.User#402881ed541094e001541094ed9c000e]],collectionKeys=[]];ActionQueue[insertions=org.hibernate.engine.spi.ExecutableList@7d57dbb5 updates=org.hibernate.engine.spi.ExecutableList@630b6190 deletions=org.hibernate.engine.spi.ExecutableList@532e27ab orphanRemovals=org.hibernate.engine.spi.ExecutableList@1cdc1bbc collectionCreations=org.hibernate.engine.spi.ExecutableList@5f95f1e1 collectionRemovals=org.hibernate.engine.spi.ExecutableList@672a1c62 collectionUpdates=org.hibernate.engine.spi.ExecutableList@459b6c53 collectionQueuedOps=org.hibernate.engine.spi.ExecutableList@39e69ea7 unresolvedInsertDependencies=UnresolvedEntityInsertActions[]])] for Hibernate transaction
5519 DEBUG [2016-04-14 01:04:36]  Participating in existing transaction
5519 DEBUG [2016-04-14 01:04:36]  Generated identifier: 402881ed541094e001541094ed9d000f, using strategy: org.hibernate.id.UUIDHexGenerator
5520 DEBUG [2016-04-14 01:04:36]  Found thread-bound Session [SessionImpl(PersistenceContext[entityKeys=[EntityKey[com.demonshrimp.dawj.model.entity.Site#402881ed541094e001541094ed9c000d], EntityKey[com.demonshrimp.dawj.model.entity.User#402881ed541094e001541094ed9c000e], EntityKey[com.demonshrimp.dawj.model.entity.User#402881ed541094e001541094ed9d000f]],collectionKeys=[]];ActionQueue[insertions=org.hibernate.engine.spi.ExecutableList@7d57dbb5 updates=org.hibernate.engine.spi.ExecutableList@630b6190 deletions=org.hibernate.engine.spi.ExecutableList@532e27ab orphanRemovals=org.hibernate.engine.spi.ExecutableList@1cdc1bbc collectionCreations=org.hibernate.engine.spi.ExecutableList@5f95f1e1 collectionRemovals=org.hibernate.engine.spi.ExecutableList@672a1c62 collectionUpdates=org.hibernate.engine.spi.ExecutableList@459b6c53 collectionQueuedOps=org.hibernate.engine.spi.ExecutableList@39e69ea7 unresolvedInsertDependencies=UnresolvedEntityInsertActions[]])] for Hibernate transaction
5520 DEBUG [2016-04-14 01:04:36]  Participating in existing transaction
5520 DEBUG [2016-04-14 01:04:36]  Generated identifier: 402881ed541094e001541094ed9e0010, using strategy: org.hibernate.id.UUIDHexGenerator
5520 DEBUG [2016-04-14 01:04:36]  Initiating transaction commit
5520 DEBUG [2016-04-14 01:04:36]  Committing Hibernate transaction on Session [SessionImpl(PersistenceContext[entityKeys=[EntityKey[com.demonshrimp.dawj.model.entity.Site#402881ed541094e001541094ed9c000d], EntityKey[com.demonshrimp.dawj.model.entity.User#402881ed541094e001541094ed9c000e], EntityKey[com.demonshrimp.dawj.model.entity.User#402881ed541094e001541094ed9d000f], EntityKey[com.demonshrimp.dawj.model.entity.User#402881ed541094e001541094ed9e0010]],collectionKeys=[]];ActionQueue[insertions=org.hibernate.engine.spi.ExecutableList@7d57dbb5 updates=org.hibernate.engine.spi.ExecutableList@630b6190 deletions=org.hibernate.engine.spi.ExecutableList@532e27ab orphanRemovals=org.hibernate.engine.spi.ExecutableList@1cdc1bbc collectionCreations=org.hibernate.engine.spi.ExecutableList@5f95f1e1 collectionRemovals=org.hibernate.engine.spi.ExecutableList@672a1c62 collectionUpdates=org.hibernate.engine.spi.ExecutableList@459b6c53 collectionQueuedOps=org.hibernate.engine.spi.ExecutableList@39e69ea7 unresolvedInsertDependencies=UnresolvedEntityInsertActions[]])]
5520 DEBUG [2016-04-14 01:04:36]  committing
5520 DEBUG [2016-04-14 01:04:36]  Processing flush-time cascades
5520 DEBUG [2016-04-14 01:04:36]  Dirty checking collections
5521 DEBUG [2016-04-14 01:04:36]  Flushed: 4 insertions, 0 updates, 0 deletions to 4 objects
5521 DEBUG [2016-04-14 01:04:36]  Flushed: 0 (re)creations, 0 updates, 0 removals to 0 collections
5521 DEBUG [2016-04-14 01:04:36]  Listing entities:
5522 DEBUG [2016-04-14 01:04:36]  com.demonshrimp.dawj.model.entity.Site{lastLoginTime=null, path=/, password=e10adc3949ba59abbe56e057f20f883e, createTime=Thu Apr 14 01:04:36 CST 2016, certificated=true, city=test, lastModifyTime=null, name=test, id=402881ed541094e001541094ed9c000d, status=1, token=null}
5522 DEBUG [2016-04-14 01:04:36]  com.demonshrimp.dawj.model.entity.User{birthday=null, qq=null, sex=1, mobile=1388888880, points=0, token=null, lastLoginTime=null, site=com.demonshrimp.dawj.model.entity.Site#402881ed541094e001541094ed9c000d, password=123456, createTime=Thu Apr 14 01:04:36 CST 2016, lastModifyTime=Thu Apr 14 01:04:36 CST 2016, name=用户_0, id=402881ed541094e001541094ed9c000e, wechatUserId=null}
5522 DEBUG [2016-04-14 01:04:36]  com.demonshrimp.dawj.model.entity.User{birthday=null, qq=null, sex=1, mobile=1388888881, points=0, token=null, lastLoginTime=null, site=com.demonshrimp.dawj.model.entity.Site#402881ed541094e001541094ed9c000d, password=123456, createTime=Thu Apr 14 01:04:36 CST 2016, lastModifyTime=Thu Apr 14 01:04:36 CST 2016, name=用户_1, id=402881ed541094e001541094ed9d000f, wechatUserId=null}
5522 DEBUG [2016-04-14 01:04:36]  com.demonshrimp.dawj.model.entity.User{birthday=null, qq=null, sex=1, mobile=1388888882, points=0, token=null, lastLoginTime=null, site=com.demonshrimp.dawj.model.entity.Site#402881ed541094e001541094ed9c000d, password=123456, createTime=Thu Apr 14 01:04:36 CST 2016, lastModifyTime=Thu Apr 14 01:04:36 CST 2016, name=用户_2, id=402881ed541094e001541094ed9e0010, wechatUserId=null}
5522 DEBUG [2016-04-14 01:04:36]  insert into site (create_time, last_modify_time, certificated, city, lastLoginTime, name, password, path, status, token, id) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
5523 DEBUG [2016-04-14 01:04:36]  com.mchange.v2.c3p0.stmt.GlobalMaxOnlyStatementCache ----> CACHE HIT
5523 DEBUG [2016-04-14 01:04:36]  checkoutStatement: com.mchange.v2.c3p0.stmt.GlobalMaxOnlyStatementCache stats -- total size: 7; checked out: 1; num connections: 1; num keys: 7
5524 DEBUG [2016-04-14 01:04:36]  checkinStatement(): com.mchange.v2.c3p0.stmt.GlobalMaxOnlyStatementCache stats -- total size: 7; checked out: 0; num connections: 1; num keys: 7
5524 DEBUG [2016-04-14 01:04:36]  insert into user (create_time, last_modify_time, site_id, birthday, last_login_time, mobile, name, password, points, qq, sex, token, wechatUserId, id) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
5524 DEBUG [2016-04-14 01:04:36]  com.mchange.v2.c3p0.stmt.GlobalMaxOnlyStatementCache ----> CACHE HIT
5524 DEBUG [2016-04-14 01:04:36]  checkoutStatement: com.mchange.v2.c3p0.stmt.GlobalMaxOnlyStatementCache stats -- total size: 7; checked out: 1; num connections: 1; num keys: 7
5525 DEBUG [2016-04-14 01:04:36]  checkinStatement(): com.mchange.v2.c3p0.stmt.GlobalMaxOnlyStatementCache stats -- total size: 7; checked out: 0; num connections: 1; num keys: 7
5525 DEBUG [2016-04-14 01:04:36]  insert into user (create_time, last_modify_time, site_id, birthday, last_login_time, mobile, name, password, points, qq, sex, token, wechatUserId, id) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
5525 DEBUG [2016-04-14 01:04:36]  com.mchange.v2.c3p0.stmt.GlobalMaxOnlyStatementCache ----> CACHE HIT
5525 DEBUG [2016-04-14 01:04:36]  checkoutStatement: com.mchange.v2.c3p0.stmt.GlobalMaxOnlyStatementCache stats -- total size: 7; checked out: 1; num connections: 1; num keys: 7
5527 DEBUG [2016-04-14 01:04:36]  checkinStatement(): com.mchange.v2.c3p0.stmt.GlobalMaxOnlyStatementCache stats -- total size: 7; checked out: 0; num connections: 1; num keys: 7
5527 DEBUG [2016-04-14 01:04:36]  insert into user (create_time, last_modify_time, site_id, birthday, last_login_time, mobile, name, password, points, qq, sex, token, wechatUserId, id) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
5527 DEBUG [2016-04-14 01:04:36]  com.mchange.v2.c3p0.stmt.GlobalMaxOnlyStatementCache ----> CACHE HIT
5527 DEBUG [2016-04-14 01:04:36]  checkoutStatement: com.mchange.v2.c3p0.stmt.GlobalMaxOnlyStatementCache stats -- total size: 7; checked out: 1; num connections: 1; num keys: 7
5528 DEBUG [2016-04-14 01:04:36]  checkinStatement(): com.mchange.v2.c3p0.stmt.GlobalMaxOnlyStatementCache stats -- total size: 7; checked out: 0; num connections: 1; num keys: 7
5556 DEBUG [2016-04-14 01:04:36]  committed JDBC Connection
5556 DEBUG [2016-04-14 01:04:36]  re-enabling autocommit
5557 DEBUG [2016-04-14 01:04:36]  Closing Hibernate Session [SessionImpl(PersistenceContext[entityKeys=[EntityKey[com.demonshrimp.dawj.model.entity.Site#402881ed541094e001541094ed9c000d], EntityKey[com.demonshrimp.dawj.model.entity.User#402881ed541094e001541094ed9c000e], EntityKey[com.demonshrimp.dawj.model.entity.User#402881ed541094e001541094ed9d000f], EntityKey[com.demonshrimp.dawj.model.entity.User#402881ed541094e001541094ed9e0010]],collectionKeys=[]];ActionQueue[insertions=org.hibernate.engine.spi.ExecutableList@7d57dbb5 updates=org.hibernate.engine.spi.ExecutableList@630b6190 deletions=org.hibernate.engine.spi.ExecutableList@532e27ab orphanRemovals=org.hibernate.engine.spi.ExecutableList@1cdc1bbc collectionCreations=org.hibernate.engine.spi.ExecutableList@5f95f1e1 collectionRemovals=org.hibernate.engine.spi.ExecutableList@672a1c62 collectionUpdates=org.hibernate.engine.spi.ExecutableList@459b6c53 collectionQueuedOps=org.hibernate.engine.spi.ExecutableList@39e69ea7 unresolvedInsertDependencies=UnresolvedEntityInsertActions[]])] after transaction
5557 DEBUG [2016-04-14 01:04:36]  HHH000420: Closing un-released batch
5557 DEBUG [2016-04-14 01:04:36]  Releasing JDBC connection
5557 DEBUG [2016-04-14 01:04:36]  checkinAll(): com.mchange.v2.c3p0.stmt.GlobalMaxOnlyStatementCache stats -- total size: 7; checked out: 0; num connections: 1; num keys: 7
5557 DEBUG [2016-04-14 01:04:36]  trace com.mchange.v2.resourcepool.BasicResourcePool@57fd91c9 [managed: 10, unused: 9, excluded: 0] (e.g. com.mchange.v2.c3p0.impl.NewPooledConnection@1674d5f4)
5557 DEBUG [2016-04-14 01:04:36]  Released JDBC connection
5557 DEBUG [2016-04-14 01:04:36]  checkinAll(): com.mchange.v2.c3p0.stmt.GlobalMaxOnlyStatementCache stats -- total size: 7; checked out: 0; num connections: 1; num keys: 7
5558 INFO  [2016-04-14 01:04:36]  Committed transaction for test context [DefaultTestContext@242b6e1a testClass = UserServiceTest, testInstance = com.demonshrimp.dawj.test.service.UserServiceTest@5922d3e9, testMethod = empyRunnable@BaseTestCase, testException = [null], mergedContextConfiguration = [MergedContextConfiguration@39a87e72 testClass = UserServiceTest, locations = '{classpath:/test-config/application-context.xml}', classes = '{}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{}', contextLoader = 'org.springframework.test.context.support.DelegatingSmartContextLoader', parent = [null]]].
5558 DEBUG [2016-04-14 01:04:36]  After test method: context [DefaultTestContext@242b6e1a testClass = UserServiceTest, testInstance = com.demonshrimp.dawj.test.service.UserServiceTest@5922d3e9, testMethod = empyRunnable@BaseTestCase, testException = [null], mergedContextConfiguration = [MergedContextConfiguration@39a87e72 testClass = UserServiceTest, locations = '{classpath:/test-config/application-context.xml}', classes = '{}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{}', contextLoader = 'org.springframework.test.context.support.DelegatingSmartContextLoader', parent = [null]]], class annotated with @DirtiesContext [false] with mode [null], method annotated with @DirtiesContext [false] with mode [null].
5558 DEBUG [2016-04-14 01:04:36]  After test class: context [DefaultTestContext@242b6e1a testClass = UserServiceTest, testInstance = [null], testMethod = [null], testException = [null], mergedContextConfiguration = [MergedContextConfiguration@39a87e72 testClass = UserServiceTest, locations = '{classpath:/test-config/application-context.xml}', classes = '{}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{}', contextLoader = 'org.springframework.test.context.support.DelegatingSmartContextLoader', parent = [null]]], class annotated with @DirtiesContext [false] with mode [null].
5560 INFO  [2016-04-14 01:04:36]  Closing org.springframework.context.support.GenericApplicationContext@7fac631b: startup date [Thu Apr 14 01:04:31 CST 2016]; root of context hierarchy
5561 DEBUG [2016-04-14 01:04:36]  Returning cached instance of singleton bean 'lifecycleProcessor'
5561 DEBUG [2016-04-14 01:04:36]  Destroying singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@515c6049: defining beans [dataSource,sessionFactory,transactionManager,org.springframework.transaction.config.internalTransactionalEventListenerFactory,org.springframework.aop.config.internalAutoProxyCreator,org.springframework.transaction.annotation.AnnotationTransactionAttributeSource#0,org.springframework.transaction.interceptor.TransactionInterceptor#0,org.springframework.transaction.config.internalTransactionAdvisor,mvcContentNegotiationManager,org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping,mvcCorsConfigurations,org.springframework.format.support.FormattingConversionServiceFactoryBean#0,org.springframework.validation.beanvalidation.OptionalValidatorFactoryBean#0,org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter,mvcUriComponentsContributor,org.springframework.web.servlet.handler.MappedInterceptor#0,org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver#0,org.springframework.web.servlet.mvc.annotation.ResponseStatusExceptionResolver#0,org.springframework.web.servlet.mvc.support.DefaultHandlerExceptionResolver#0,org.springframework.web.servlet.handler.BeanNameUrlHandlerMapping,org.springframework.web.servlet.mvc.HttpRequestHandlerAdapter,org.springframework.web.servlet.mvc.SimpleControllerHandlerAdapter,org.springframework.web.servlet.handler.MappedInterceptor#1,multipartResolver,jsonFilterAdvice,org.springframework.aop.aspectj.AspectJPointcutAdvisor#0,jsonFilterPointcut,exceptionAdvice,counselingArticleDaoImpl,counselingTypeDaoImpl,counselorDaoImpl,orderDaoImpl,siteDaoImpl,userDaoImpl,captchaServiceImpl,counselingServiceImpl,messageServiceImpl,orderServiceImpl,systemServiceImpl,userServiceImpl,counselingArticleAdminController,counselingTypeAdminController,counselorAdminController,siteAdminController,userAdminController,counselingArticleUserController,counselingTypeUserController,counselorUserController,userOrderController,userUserController,org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,org.springframework.context.annotation.internalPersistenceAnnotationProcessor,org.springframework.context.event.internalEventListenerProcessor,org.springframework.context.event.internalEventListenerFactory,pers.ksy.common.spring4.SpringUtil#0,mailSender,weiMiSmsProvider,alipayClient,org.springframework.context.annotation.ConfigurationClassPostProcessor.importAwareProcessor,org.springframework.context.annotation.ConfigurationClassPostProcessor.enhancedConfigurationProcessor]; root of factory hierarchy
5573 DEBUG [2016-04-14 01:04:36]  Retrieved dependent beans for bean 'userServiceImpl': [com.demonshrimp.dawj.test.service.UserServiceTest]
5574 DEBUG [2016-04-14 01:04:36]  Retrieved dependent beans for bean 'pers.ksy.common.spring4.UTF8StringHttpMessageConverter#0#2': [org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver#0]
5577 DEBUG [2016-04-14 01:04:36]  Retrieved dependent beans for bean '(inner bean)#3db663d0': [mvcUriComponentsContributor]
5577 DEBUG [2016-04-14 01:04:36]  Retrieved dependent beans for bean '(inner bean)#31edeac#1': [(inner bean)#3db663d0]
5578 DEBUG [2016-04-14 01:04:36]  Retrieved dependent beans for bean '(inner bean)#31edeac': [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter]
5578 DEBUG [2016-04-14 01:04:36]  Invoking destroy() on bean with name 'org.springframework.validation.beanvalidation.OptionalValidatorFactoryBean#0'
5579 DEBUG [2016-04-14 01:04:36]  Retrieved dependent beans for bean 'openSessionInViewInterceptor': [org.springframework.web.servlet.handler.MappedInterceptor#1]
5579 DEBUG [2016-04-14 01:04:36]  Retrieved dependent beans for bean '(inner bean)#3f29e26': [org.springframework.web.servlet.handler.MappedInterceptor#0]
5579 DEBUG [2016-04-14 01:04:36]  Invoking destroy() on bean with name 'sessionFactory'
5580 DEBUG [2016-04-14 01:04:36]  HHH000031: Closing
5580 DEBUG [2016-04-14 01:04:36]  Implicitly destroying Boot-strap registry on de-registration of all child ServiceRegistries
5580 DEBUG [2016-04-14 01:04:36]  Implicitly destroying ServiceRegistry on de-registration of all child ServiceRegistries
5581 DEBUG [2016-04-14 01:04:36]  Retrieved dependent beans for bean '(inner bean)#548a24a': [org.springframework.aop.aspectj.AspectJPointcutAdvisor#0]
5581 DEBUG [2016-04-14 01:04:36]  Retrieved dependent beans for bean '(inner bean)#4c163e3': [(inner bean)#548a24a]
